submission_id,marketing_channel,loan_amount,age,income,fico,prequal_completed,prequal_rates_received,cosigner_invited,cosigner_active,full_form_in_progress,full_form_completed,offer_accepted
2644866,Organic,26657,25,39520,747,1,1,0,0,1,0,0
1946013,Partner,57947,34,45000,784,1,1,0,0,0,0,0
2348051,Partner,36172,32,90000,697,1,1,1,0,1,0,0
2959388,Organic,35000,33,31200,708,1,1,0,0,0,0,0
1962239,Organic,35000,36,85000,771,1,1,0,0,0,0,0
2573453,Partner,14550,28,33000,645,1,0,0,0,0,0,0
2195488,Paid,15000,53,45000,785,1,0,0,0,0,0,0
2663209,Paid,64371,27,47000,756,1,1,0,0,0,0,0
2299524,Paid,12500,29,43700,757,1,1,0,0,0,0,0
2491527,Organic,73352,28,136500,728,1,1,0,0,1,1,0
2107577,Paid,31969,37,18623,704,1,0,0,0,0,0,0
2883568,Partner,33000,32,71000,824,1,1,0,0,0,0,0
2518967,Paid,21130,54,29486,700,1,0,0,0,0,0,0
3025865,Paid,160000,31,60000,804,1,1,0,0,0,0,0
2166630,Paid,5865,26,47000,621,1,0,1,1,1,1,0
3025218,Partner,94000,30,40500,656,1,0,0,0,0,0,0
2402982,Partner,59000,26,55000,740,1,1,0,0,0,0,0
2068509,Organic,47996,34,100000,798,1,1,0,0,1,1,1
3081322,Partner,120000,36,66000,592,1,0,0,0,0,0,0
2588927,Partner,149999,38,78000,799,1,1,0,0,0,0,0
2205332,Partner,16566,44,70000,841,1,1,0,0,1,1,0
2491533,Partner,53503,34,150000,805,1,1,1,0,1,1,0
2902448,Partner,73000,39,117000,850,1,1,1,0,0,0,0
2924874,Paid,128864,29,1,762,1,1,1,1,1,1,0
2354355,Partner,45000,28,70000,725,1,0,0,0,0,0,0
2389223,Organic,40000,30,71000,665,1,1,0,0,0,0,0
2099514,Partner,52396,28,57000,649,1,0,1,1,1,0,0
1967069,Paid,84000,23,38000,668,1,0,0,0,0,0,0
3055190,Partner,59085,33,87000,824,1,1,0,0,1,1,0
2665588,Organic,30000,32,18000,539,1,0,0,0,0,0,0
2375658,Partner,52463,33,76000,682,1,0,0,0,0,0,0
2851528,Partner,100000,27,120000,787,1,1,1,0,1,0,0
2265585,Partner,8324,29,65248,807,1,1,0,0,0,0,0
2954745,Paid,25000,25,27040,569,1,0,0,0,0,0,0
2037918,Organic,34000,51,31200,672,1,0,0,0,0,0,0
3023051,Paid,160000,36,172100,766,1,1,0,0,0,0,0
2961820,Partner,16000,35,38000,718,1,1,0,0,0,0,0
3009455,Partner,300000,35,48001,577,1,0,0,0,0,0,0
